title,year,network
THE SOPRANOS,1999,HBO
BREAKING BAD,2008,AMC
GAME OF THRONES,2011,HBO
THE WIRE,2002,HBO
MAD MEN,2007,AMC
THE WEST WING,1999,NBC
THE CROWN,2016,NETFLIX
STRANGER THINGS,2016,NETFLIX
TRUE DETECTIVE,2014,HBO
THE AMERICANS,2013,FX
FARGO,2014,FX
LOST,2004,ABC
THE OFFICE (US),2005,NBC
HOMELAND,2011,SHOWTIME
SHERLOCK,2010,BBC ONE
BETTER CALL SAUL,2015,AMC
WESTWORLD,2016,HBO
BOARDWALK EMPIRE,2010,HBO
DOWNTON ABBEY,2010,ITV/PBS
HOUSE OF CARDS,2013,NETFLIX
MINDHUNTER,2017,NETFLIX
TWIN PEAKS: THE RETURN,2017,SHOWTIME
OZ,1997,HBO
THE HANDMAID'S TALE,2017,HULU
TRUE BLOOD,2008,HBO
THE BIG BANG THEORY,2007,CBS
THE WALKING DEAD,2010,AMC
FRIDAY NIGHT LIGHTS,2006,NBC
DEADWOOD,2004,HBO
THE GOOD WIFE,2009,CBS
THE MARVELOUS MRS. MAISEL,2017,AMAZON PRIME VIDEO
HANNIBAL,2013,NBC
THE LEFTOVERS,2014,HBO
BLACK MIRROR,2011,CHANNEL 4/NETFLIX
ORANGE IS THE NEW BLACK,2013,NETFLIX
BATTLESTAR GALACTICA,2004,SYFY
JUSTIFIED,2010,FX
FLEABAG,2016,BBC THREE/AMAZON PRIME VIDEO
MR. ROBOT,2015,USA NETWORK
PARKS AND RECREATION,2009,NBC
SIX FEET UNDER,2001,HBO
THE SHIELD,2002,FX
THE GOOD PLACE,2016,NBC
FIREFLY,2002,FOX
THE NEWSROOM,2012,HBO
THE MAN IN THE HIGH CASTLE,2015,AMAZON PRIME VIDEO
PERSON OF INTEREST,2011,CBS
THE HAUNTING OF HILL HOUSE,2018,NETFLIX
THE X-FILES,1993,FOX
PEAKY BLINDERS,2013,BBC TWO/NETFLIX
SONS OF ANARCHY,2008,FX
BUFFY THE VAMPIRE SLAYER,1997,THE WB/UPN
NARCOS,2015,NETFLIX
ALIAS,2001,ABC
